设备地址,站点名称,目标地址,目标AS域,下行流量,上行流量,总流量,下行流量-新,上行流量-新,总流量-新
,123.206.239.101,123.206.239.101,腾讯,0,28.792K,28.792K,0G,2.8792e-05G,2.8792e-05G
,bofangqi.86938872.com,182.254.59.207,腾讯,8.95K,19.756K,28.706K,8.949999999999999e-06G,1.9756e-05G,2.8706e-05G
,avata.weiqi.qq.com,182.254.233.219,腾讯,0,28.606K,28.606K,0G,2.8606000000000004e-05G,2.8606000000000004e-05G
,app.static.junshijia.com,182.254.49.96,腾讯,0,28.557K,28.557K,0G,2.8556999999999998e-05G,2.8556999999999998e-05G
,c2cpicdw.qpic.cn,182.254.56.76,腾讯,4.448K,24.052K,28.5K,4.4480000000000004e-06G,2.4052e-05G,2.85e-05G
,121.51.64.14,121.51.64.14,腾讯,0,28.497K,28.497K,0G,2.8497000000000002e-05G,2.8497000000000002e-05G
,p.tracking.yangkeduo.com,118.89.129.39,腾讯,423,28.069K,28.492K,4.2299999999999996e-07G,2.8069000000000002e-05G,2.8492e-05G
,input.shouji.sogou.co,211.159.235.100,腾讯,759,27.692K,28.451K,7.590000000000001e-07G,2.7692000000000002e-05G,2.8451e-05G
,poe.qq.com,182.254.49.85,腾讯,792,27.518K,28.31K,7.920000000000001e-07G,2.7518e-05G,2.831e-05G
,img7x4.ddimg.cn,182.254.53.92,腾讯,0,28.28K,28.28K,0G,2.828e-05G,2.828e-05G
,140.143.117.239,140.143.117.239,河南省郑州市景安计算机网络,0,28.277K,28.277K,0G,2.8277e-05G,2.8277e-05G
,1251337138.cdn.myqcloud.com,182.254.53.68,腾讯,801,27.439K,28.24K,8.01e-07G,2.7439000000000003e-05G,2.8239999999999997e-05G
,www.xy.com,118.25.169.187,香港,0,28.181K,28.181K,0G,2.8181e-05G,2.8181e-05G
,shipshape.price.yiqixiegushi.com,49.234.240.203,北京市教育信息网,0,28.141K,28.141K,0G,2.8141e-05G,2.8141e-05G
,111.230.218.99,111.230.218.99,湖北省,0,28.099K,28.099K,0G,2.8099e-05G,2.8099e-05G
,134.175.121.252,134.175.121.252,其他国家,2.601K,25.468K,28.069K,2.601e-06G,2.5468e-05G,2.8069000000000002e-05G
,m46.changingclass.com,94.191.54.96,其他国家,0,28.044K,28.044K,0G,2.8043999999999998e-05G,2.8043999999999998e-05G
,t.l.qq.com,182.254.78.101,腾讯,0,27.969K,27.969K,0G,2.7969e-05G,2.7969e-05G
,w.sugg.sogou.com,211.159.235.100,腾讯,0,27.952K,27.952K,0G,2.7952000000000003e-05G,2.7952000000000003e-05G
,123.207.92.104:4007,123.207.92.104,腾讯,0,27.902K,27.902K,0G,2.7901999999999998e-05G,2.7901999999999998e-05G
,common.api.en8848.com,150.158.113.81,其他国家,0,27.892K,27.892K,0G,2.7892e-05G,2.7892e-05G
,map7.mini1.cn,182.254.48.202,腾讯,18.252K,9.623K,27.875K,1.8251999999999997e-05G,9.623e-06G,2.7875e-05G
,int.qudong.updrv.com,182.254.53.68,腾讯,3.567K,24.294K,27.861K,3.5670000000000003e-06G,2.4293999999999998e-05G,2.7861e-05G
,oa.zongdong.com:8999,49.232.33.109,北京市教育信息网,0,27.855K,27.855K,0G,2.7855e-05G,2.7855e-05G
,106.53.80.29,106.53.80.29,北京市北龙中网,0,27.834K,27.834K,0G,2.7834e-05G,2.7834e-05G
